ALHBCAAW	34.07846	-118.14496
ALHBILXE	38.88958	-89.72955
ALICNDXA	46.76164	-97.55023
ALICTX96	27.74959	-98.08106
ALICTXAL	27.74886	-98.06482
ALIDSK01	49.22244	-102.17410
ALINOKXA	36.51450	-98.44894
ALITAKZA	56.90610	-154.24471
ALIXAB01	52.39859	-113.18845
ALKTAKXA	66.56916	-152.63985
ALLEMNAL	43.64718	-93.37085
ALLEMNWV	43.62884	-93.36145
ALLGMIXG	42.52593	-85.85230
ALLNKSXA	38.65159	-96.17518
ALLNKY01	37.59995	-82.71457
ALLNKYMA	37.61256	-82.71855
ALLNMIXI	41.94019	-84.78019
ALLNNERC	42.41630	-96.83853
ALLNOKMA	34.87778	-96.41123
ALLNTXSA	33.10111	-96.67576
ALLWOKMA	36.61033	-95.48869
ALLYWVAL	38.12681	-81.25434
ALMAARXA	35.47596	-94.22543
ALMAGAXA	31.54241	-82.46517
ALMAKSXA	39.01437	-96.28969
ALMAMIXG	43.37827	-84.65703
ALMAMOXA	39.10061	-93.55286
ALMANBSC	45.60593	-64.93758
ALMANEXG	40.09996	-99.35907
ALMAPQ14	48.54732	-71.65412
ALMAPQAS	48.55019	-71.65939
ALMAWIXA	44.32559	-91.91415
ALMDCA11	37.76840	-122.24654
ALMDCACP	37.80683	-122.27034
ALMDNYXA	42.32022	-77.73765
ALMDSK02	49.22244	-102.17410
ALMDWIXA	44.25640	-89.40656
ALMEKSMA	39.89499	-99.71228
ALMEWIXA	45.41462	-92.03257
ALMGNM05	32.91429	-105.94320
ALMGNMAG	32.83126	-105.88192
ALMGNMMA	32.89918	-105.95991
ALMGNMWE	32.84049	-106.11108
ALMLMNXA	45.49040	-92.78744
ALMOIDXC	42.09293	-113.62479
ALMRWAXA	47.71099	-118.93594
ALMSCOMA	37.46794	-105.86634
ALMSCOSI	37.47108	-105.85917
ALMTILXE	39.05692	-88.74999
ALMTKSXA	37.19110	-95.28961
ALMTMIXG	42.92133	-83.04491
ALMTNYAL	42.70007	-74.03330
ALMTON01	45.19521	-76.22764
ALMTTXXA	30.18505	-104.03169
ALMTUTXC	40.36009	-110.29523
ALMYARXA	34.40927	-91.41373
ALNAIACO	41.64769	-93.46450
ALNAKSXA	37.52421	-95.66433
ALNAPAAC	40.51053	-78.38791
ALNAPAAL	40.50038	-78.38968
ALNAPAAT	40.51441	-78.40626
ALNAPABE	40.47249	-78.39997
ALNAPABV	40.51565	-78.39789
ALNAPADP	40.50806	-78.40465
ALNAPADV	40.56531	-78.44090
ALNAPAWM	40.56531	-78.44090
ALNCAB02	52.43463	-111.78048
ALNCNENW	42.08181	-102.86897
ALNCOH82	40.91103	-81.10163
ALNDNCXA	36.22381	-77.11631
ALNSMB01	50.79991	-98.98558
ALNSMIXJ	45.44020	-84.77454
ALNTWIXA	43.42160	-88.33346
ALOHORXX	45.48894	-122.87630
ALPEARXA	36.29264	-93.29395
ALPEMIAH	45.06007	-83.44341
ALPEMICO	45.06557	-83.46891
ALPEMIXG	45.06165	-83.43450
ALPESDXA	44.18310	-98.36859
ALPGCAXF	35.88819	-119.48538
ALPHGAXA	31.38268	-83.22495
ALPHIAXO	43.00050	-92.04759
ALPHIL01	41.20383	-90.38075
ALPHILXD	41.19350	-90.38070
ALPIAZXC	33.84815	-109.13947
ALPICA12	32.83963	-116.76375
ALPINJ15	40.96138	-73.91975
ALPINJAA	40.96138	-73.91975
ALPITXAP	30.35840	-103.66185
ALPIWYXC	43.16662	-111.01427
ALPKCOMA	40.19290	-105.52702
ALPNCAXF	40.17423	-123.60803
ALPRGAMA	34.09169	-84.27651
ALQPPAAL	40.60905	-80.25200
ALRGVAXA	36.96211	-80.44081
ALROAB03	51.91570	-110.16865
ALSEORXX	44.38118	-123.59379
ALSKSK01	51.46658	-109.15287
ALSNARXA	35.95153	-92.10811
ALSNCOXC	37.02413	-107.48315
ALSNIAAB	42.75266	-92.79635
ALSNTXAL	35.61629	-100.10718
ALSPFLCU	28.66618	-81.36787
ALSPFLXA	28.66773	-81.36076
ALSTNHLI	43.14701	-72.35980
ALTAIA01	42.67986	-95.30552
ALTAMTXC	45.71995	-114.26701
ALTATNXA	35.46813	-85.65864
ALTAUTMA	40.59063	-111.64020
ALTHARMA	34.31787	-91.84500
ALTNIAXO	42.99360	-96.00683
ALTNILAK	38.90301	-90.14810
ALTNMEXA	45.03832	-68.72875
ALTNMIXI	46.76899	-88.74900
ALTNMOXA	36.69820	-91.39992
ALTNMTXB	47.00164	-114.47840
ALTNMTXC	47.00454	-114.46407
ALTNNCXA	34.88111	-80.54555
ALTNNHXA	43.45649	-71.22195
ALTNPE01	46.81339	-64.06915
ALTOIAXO	40.71107	-93.36807
ALTOMIMN	42.85573	-85.38480
ALTONMXC	33.40164	-105.67231
ALTOON41	44.14812	-79.86739
ALTOTXXO	31.65086	-95.08522
ALTRCAXF	41.48731	-120.54229
ALTRFLXA	27.86958	-81.71458
ALTRMNXA	44.07306	-91.93893
ALTSARXA	35.44913	-93.76090
ALTSOK17	34.61035	-9.99999
ALTSOKMA	34.64234	-99.32736
ALTVIAXP	43.19982	-92.41854
ALTVKSXA	38.86531	-96.49506
